customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default,dti_ratio,lti_ratio,credit_utilisation
8153374,0,5221.545193,3915.471226,78039.38546,5,605,0,0.05017301459923618,0.06690910188774313,0.0
7442532,5,1958.928726,8228.75252,26648.43525,2,572,1,0.30878933201152964,0.07351008446171338,1.0
2256073,0,3363.009259,2027.83085,65866.71246,4,602,0,0.030786884213045786,0.051057797381982774,0.0
4885975,0,4766.648001,2501.730397,74356.88347,5,612,0,0.033644906567518354,0.06410499981381212,0.0
4700614,1,1345.827718,1768.826187,23448.32631,6,631,0,0.07543507215035851,0.05739547037206,0.2
4661159,0,5376.886873,7189.121298,85529.84591,2,697,0,0.0840539489053313,0.06286562095128648,0.0
8291909,1,3634.057471,7085.980095,68691.57707,6,722,0,0.10315646251328671,0.052903974926892736,0.2
4616950,4,3302.172238,13067.57021,50352.16821,3,545,1,0.2595234857712595,0.0655815301583018,0.8
3395789,0,2938.325123,1918.404472,53497.37754,4,676,0,0.035859785286963056,0.054924657209655066,0.0
4045948,0,5396.366774,5298.824524,92349.55399,2,447,0,0.057377911371112617,0.05843414007808139,0.0
1946105,5,4224.542337,18858.28272,76975.03318,7,640,1,0.24499219995009816,0.054881981370780875,1.0
7026356,1,5470.06369,10357.63606,98688.26823,5,636,0,0.10495306327456062,0.05542769964563193,0.2
3555143,1,3440.842174,7009.017521,49413.51814,3,527,0,0.14184413061101664,0.06963362058640093,0.2
1852525,1,4799.604414,7321.171391,81534.51708,5,638,0,0.08979229476292373,0.058865920666344614,0.2
2436643,0,2909.447925,2713.013317,62340.39145,2,616,0,0.04351935003770336,0.046670350591775114,0.0
1089094,0,3281.568882,6447.096241,63042.43756,3,644,0,0.10226597337490388,0.05205333120053932,0.0
2618670,0,5579.715349,1755.76098,83490.03355,3,606,0,0.021029587668670906,0.06683091516137019,0.0
4841253,1,4407.471929,8331.603288,54527.70813,3,727,0,0.15279577252974855,0.08082995013273081,0.2
4522930,5,2761.049506,16620.80342,52428.52206,4,627,1,0.31701834739836643,0.05266311918616002,1.0
2999053,0,4461.847138,6965.056642,98149.74308,6,581,0,0.07096357487480037,0.045459590600896764,0.0
2723215,2,3477.433899,8389.081942,70760.64317,8,667,0,0.1185557615954044,0.04914361632702498,0.4
1467134,4,2608.798997,11177.43742,39682.19883,1,480,1,0.28167384241696264,0.06574229941682896,0.8
4754857,1,5138.918794,11566.29898,101268.5826,5,677,0,0.1142140897309251,0.05074544011639006,0.2
4039149,2,4199.164596,9607.021343,62160.28338,6,726,0,0.15455240582270333,0.0675538200224981,0.4
8521446,0,3334.584216,2992.09521,68928.27308,5,596,0,0.04340882306056463,0.04837759698592466,0.0
1279600,1,3079.55134,4606.951938,54592.43358,7,605,0,0.08438810355008175,0.05640985642245114,0.2
7269476,0,3040.960977,4404.918315,47012.43037,2,636,0,0.09369688570303965,0.06468418996990476,0.0
2289318,0,2212.887987,610.7649879,42642.15937,4,642,0,0.014323031406558903,0.05189436979021356,0.0
6552907,0,3285.841537,4459.926443,66382.17214,4,596,0,0.06718560570139247,0.04949885535637732,0.0
8753437,0,3258.508608,3982.097842,72023.81125,2,667,0,0.055288629869611354,0.045242101902792604,0.0
4320547,1,3438.165737,6899.967887,95771.69288,7,580,0,0.07204600523920487,0.03589960283262354,0.2
5451200,2,4929.427201,10002.59086,65532.66639,4,697,0,0.15263518808272317,0.07522091611020133,0.4
6325220,5,3507.902474,19990.89793,69486.70311,4,542,1,0.28769386134716557,0.05048307542303254,1.0
6037431,3,5527.944216,14795.18286,78210.76357,4,668,0,0.18917067401800847,0.07068009521544172,0.6
