Method,Bucket,Min_FICO,Max_FICO,Borrowers,Defaults,Default_Rate,Risk_Grade
Log-Likelihood,1,408,520,301,199,0.6611295681063123,D
Log-Likelihood,2,521,552,496,229,0.46169354838709675,C
Log-Likelihood,3,553,580,911,307,0.33699231613611413,CCC
Log-Likelihood,4,581,611,1561,381,0.24407431133888532,B
Log-Likelihood,5,612,649,2465,402,0.16308316430020284,BB
Log-Likelihood,6,650,696,2609,256,0.09812188577999234,BBB
Log-Likelihood,7,697,732,1104,64,0.057971014492753624,A
Log-Likelihood,8,733,752,303,5,0.0165016501650165,AAA
Log-Likelihood,9,753,753,8,3,0.375,CC
Log-Likelihood,10,754,850,242,5,0.02066115702479339,AA
