Method,Bucket,Min_FICO,Max_FICO,Borrowers,Defaults,Default_Rate,Risk_Grade
MSE,1,408,502,168,121,0.7202380952380952,D
MSE,2,503,522,159,90,0.5660377358490566,C
MSE,3,523,526,36,9,0.25,BB
MSE,4,527,552,434,208,0.4792626728110599,CC
MSE,5,553,577,792,260,0.3282828282828283,B
MSE,6,578,579,76,34,0.4473684210526316,CCC
MSE,7,580,611,1604,394,0.2456359102244389,BBB
MSE,8,612,649,2465,402,0.16308316430020284,A
MSE,9,650,696,2609,256,0.09812188577999234,AA
MSE,10,697,850,1657,77,0.04646952323476162,AAA
